epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,2227.81,0.98078,0.54732,1.20074,0.89813,0.84077,0.89046,0.51903,1.5205,0.73574,1.73378,0.00043325,0.00043325,0.00043325
68,2260.91,0.98678,0.5401,1.20569,0.91865,0.82638,0.89051,0.51602,1.50408,0.74505,1.72367,0.000420875,0.000420875,0.000420875
69,2293.87,0.97768,0.536,1.18259,0.91183,0.85473,0.90053,0.52966,1.52534,0.7281,1.74934,0.0004085,0.0004085,0.0004085
70,2327.16,0.97326,0.538,1.19461,0.89803,0.83658,0.87928,0.52035,1.528,0.74573,1.78288,0.000396125,0.000396125,0.000396125
71,2359.3,0.95678,0.53151,1.1936,0.91654,0.85658,0.90057,0.52327,1.53819,0.72539,1.78599,0.00038375,0.00038375,0.00038375
72,2392.67,0.95298,0.52258,1.18806,0.9113,0.85214,0.89861,0.52434,1.51486,0.73505,1.74348,0.000371375,0.000371375,0.000371375
73,2424.95,0.96124,0.52781,1.19942,0.91928,0.8286,0.88481,0.5195,1.53579,0.74436,1.7708,0.000359,0.000359,0.000359
74,2457.94,0.93116,0.52609,1.16929,0.90101,0.8467,0.88021,0.51523,1.50752,0.72459,1.7396,0.000346625,0.000346625,0.000346625
75,2491.27,0.93433,0.50748,1.18509,0.91465,0.84537,0.89367,0.51766,1.50529,0.76499,1.74645,0.00033425,0.00033425,0.00033425
76,2524.24,0.9057,0.51346,1.15871,0.87384,0.89211,0.89797,0.52859,1.49494,0.73768,1.74702,0.000321875,0.000321875,0.000321875
77,2556.77,0.90063,0.50171,1.16134,0.9021,0.86663,0.89579,0.52297,1.51558,0.73901,1.76441,0.0003095,0.0003095,0.0003095
78,2589.73,0.90053,0.50421,1.15995,0.88641,0.86102,0.89749,0.52575,1.50469,0.7341,1.76302,0.000297125,0.000297125,0.000297125
79,2622.83,0.90848,0.50221,1.16877,0.9094,0.83851,0.89273,0.52319,1.50537,0.72775,1.74474,0.00028475,0.00028475,0.00028475
80,2655.17,0.88847,0.4953,1.13978,0.90592,0.86715,0.89778,0.53087,1.49684,0.73281,1.72354,0.000272375,0.000272375,0.000272375
81,2687.89,0.87652,0.50467,1.15418,0.88385,0.8708,0.89853,0.52474,1.52702,0.76227,1.75446,0.00026,0.00026,0.00026
82,2720.81,0.891,0.50587,1.15521,0.90932,0.87236,0.90364,0.52372,1.54268,0.74923,1.79835,0.000247625,0.000247625,0.000247625
83,2754.01,0.86566,0.48255,1.13798,0.9009,0.85914,0.90113,0.53496,1.48942,0.71261,1.74624,0.00023525,0.00023525,0.00023525
84,2786.63,0.85087,0.47917,1.12353,0.89057,0.85963,0.89451,0.53347,1.50485,0.72267,1.77252,0.000222875,0.000222875,0.000222875
85,2819.87,0.8373,0.54928,1.11426,0.91135,0.87194,0.90276,0.53136,1.50509,0.70862,1.77961,0.0002105,0.0002105,0.0002105
86,2852.73,0.83951,0.46934,1.12022,0.89143,0.8673,0.89847,0.52694,1.51476,0.75213,1.78786,0.000198125,0.000198125,0.000198125
87,2885.59,0.83995,0.46568,1.12435,0.89849,0.86853,0.89129,0.53551,1.4982,0.72897,1.75815,0.00018575,0.00018575,0.00018575
